"version_full";"date (yyyy-mm-dd)"
"9.0.283.0";"2010-09-20"
"9.0.289.0";"2010-11-04"
"10.1.85.3";"2010-09-20"
"10.1.102.64";"2010-11-04"
"10.2.152.26";"2011-02-08"
"10.2.152.32";"2011-02-28"
"10.2.153.1";"2011-03-21"
"10.2.159.1";"2011-04-15"
"10.3.181.14";"2011-05-12"
"10.3.181.16";"2011-05-31"
"10.3.181.22";"2011-06-05"
"10.3.181.26";"2011-06-14"
"10.3.181.34";"2011-06-28"
"10.3.183.5";"2011-08-09"
"10.3.183.7";"2011-08-24"
"10.3.183.10";"2011-09-21"
"10.3.183.11";"2011-11-10"
"10.3.183.15";"2012-02-15"
"10.3.183.16";"2012-03-05"
"10.3.183.18";"2012-03-28"
"10.3.183.20";"2012-06-08"
"10.3.183.29";"2012-10-08"
"10.3.183.43";"2012-11-06"
"10.3.183.48";"2012-12-11"
"10.3.183.50";"2013-01-08"
"10.3.183.51";"2013-02-07"
"10.3.183.61";"2013-02-12"
"10.3.183.63";"2013-02-12"
"10.3.183.67";"2013-02-26"
"10.3.183.68";"2013-03-12"
"10.3.183.75";"2013-04-09"
"10.3.183.86";"2013-05-14"
"10.3.183.90";"2013-07-09"
"11.0.1.152";"2011-10-03"
"11.1.102.55";"2011-11-10"
"11.1.102.62";"2012-02-15"
"11.1.102.63";"2012-03-05"
"11.2.202.223";"2012-03-28"
"11.2.202.228";"2012-03-28"
"11.2.202.233";"2012-04-13"
"11.2.202.235";"2012-05-04"
"11.2.202.238";"2012-08-14"
"11.2.202.243";"2012-10-08"
"11.2.202.251";"2012-11-06"
"11.2.202.258";"2012-12-11"
"11.2.202.261";"2012-01-08"
"11.2.202.262";"2013-02-07"
"11.2.202.270";"2013-02-12"
"11.2.202.273";"2013-02-26"
"11.2.202.275";"2013-03-12"
"11.2.202.280";"2013-04-09"
"11.2.202.285";"2013-05-14"
"11.2.202.291";"2013-06-11"
"11.2.202.297";"2013-07-09"
"11.2.202.310";"2013-09-10"
"11.2.202.327";"2013-11-12"
"11.2.202.332";"2013-12-10"
"11.2.202.335";"2014-01-14"
"11.2.202.336";"2014-02-04"
"11.2.202.341";"2014-02-20"
"11.2.202.346";"2014-03-11"
"11.2.202.350";"2014-04-08"
"11.2.202.356";"2014-04-28"
"11.2.202.359";"2014-05-13"
"11.2.202.378";"2014-06-10"
"11.2.202.394";"2014-07-08"
"11.2.202.400";"2014-08-12"
"11.2.202.406";"2014-09-09"
"11.2.202.411";"2014-10-14"
"11.2.202.418";"2014-11-11"
