"version_full";"date (yyyy-mm-dd)"
"1.3.0";"1998-06-05"
"1.3.1";"1998-07-22"
"1.3.2";"1998-09-21"
"1.3.3";"1998-10-09"
"1.3.4";"1999-01-10"
"1.3.6";"1999-03-23"
"1.3.9";"1999-08-19"
"1.3.11";"2000-01-22"
"1.3.12";"2000-02-25"
"1.3.14";"2000-10-10"
"1.3.17";"2001-01-29"
"1.3.19";"2001-02-28"
"1.3.20";"2001-05-15"
"1.3.22";"2001-10-09"
"1.3.23";"2002-01-24"
"1.3.24";"2002-03-21"
"1.3.27";"2002-10-03"
"1.3.28";"2003-07-17"
"1.3.29";"2003-10-24"
"1.3.31";"2004-05-11"
"1.3.32";"2004-10-21"
"1.3.33";"2004-10-28"
"1.3.34";"2005-10-17"
"1.3.35";"2006-04-24"
"1.3.36";"2006-05-17"
"1.3.37";"2006-07-27"
"1.3.39";"2007-09-06"
"1.3.41";"2009-10-03"
"1.3.42";"2010-02-02"
"2.0.35";"2002-04-06"
"2.0.36";"2002-05-01"
"2.0.39";"2002-06-18"
"2.0.40";"2002-08-09"
"2.0.42";"2002-09-19"
"2.0.43";"2002-10-03"
"2.0.44";"2003-01-18"
"2.0.45";"2003-03-31"
"2.0.46";"2003-05-28"
"2.0.47";"2003-07-07"
"2.0.48";"2003-10-24"
"2.0.49";"2004-03-18"
"2.0.50";"2004-06-29"
"2.0.51";"2004-09-15"
"2.0.52";"2004-09-28"
"2.0.53";"2005-02-07"
"2.0.54";"2005-04-11"
"2.0.55";"2005-10-10"
"2.0.58";"2006-04-27"
"2.0.59";"2006-07-27"
"2.0.61";"2007-09-06"
"2.0.63";"2009-10-03"
"2.0.64";"2010-10-18"
"2.0.65";"2013-07-02"
"2.2.0";"2005-11-30"
"2.2.2";"2006-04-22"
"2.2.3";"2006-07-27"
"2.2.4";"2007-01-06"
"2.2.6";"2007-09-06"
"2.2.8";"2008-01-17"
"2.2.9";"2008-06-13"
"2.2.10";"2008-10-14"
"2.2.11";"2008-12-13"
"2.2.12";"2009-07-27"
"2.2.13";"2009-08-06"
"2.2.14";"2009-10-03"
"2.2.15";"2010-03-05"
"2.2.16";"2010-07-30"
"2.2.17";"2010-10-18"
"2.2.18";"2011-05-11"
"2.2.19";"2011-05-21"
"2.2.20";"2011-08-30"
"2.2.21";"2011-09-12"
"2.2.22";"2012-01-30"
"2.2.23";"2012-09-11"
"2.2.24";"2013-02-25"
"2.2.25";"2013-07-02"
"2.2.26";"2013-11-16"
"2.2.27";"2014-03-18"
"2.2.29";"2014-09-02"
"2.2.31";"2015-07-16"
"2.2.32";"2017-01-12"
"2.2.34";"2017-07-10"
"2.3.6";"2010-06-18"
"2.3.8";"2010-08-31"
"2.4.1";"2012-02-19"
"2.4.2";"2012-04-15"
"2.4.3";"2012-08-20"
"2.4.4";"2013-02-22"
"2.4.6";"2013-07-19"
"2.4.7";"2013-11-22"
"2.4.9";"2014-03-16"
"2.4.10";"2014-07-19"
"2.4.12";"2015-01-27"
"2.4.16";"2015-07-14"
"2.4.17";"2015-10-12"
"2.4.18";"2015-12-11"
"2.4.20";"2016-04-08"
"2.4.23";"2016-07-04"
"2.4.25";"2016-12-19"
"2.4.26";"2017-06-16"
"2.4.27";"2017-07-09"
"2.4.28";"2017-10-03"
"2.4.29";"2017-10-20"
"2.4.32";"2018-03-14"
"2.4.33";"2018-03-21"
"2.4.34";"2018-07-13"
"2.4.35";"2018-09-21"
"2.4.37";"2018-10-22"
"2.4.38";"2019-01-21"
"2.4.39";"2019-03-31"
"2.4.41";"2019-08-12"
"2.4.43";"2020-03-30"
"2.4.46";"2020-08-05"
"2.4.47";"2021-04-28"
"2.4.48";"2021-05-25"
"2.4.49";"2021-09-15"
