"version_full";"date (yyyy-mm-dd)"
"3.3.2";"2004-03-09"
"3.3.2-patches";"2007-07-24"
"4.1.27";"2006-06-17"
"4.1.28-alpha";"2003-10-07"
"4.1.29";"2003-10-27"
"4.1.29-alpha";"2003-10-27"
"4.1.30";"2004-01-25"
"4.1.30-alpha";"2004-01-25"
"4.1.31";"2004-10-11"
"4.1.32";"2006-07-04"
"4.1.34";"2006-09-04"
"4.1.36";"2007-04-07"
"4.1.37";"2008-02-18"
"4.1.39";"2008-12-02"
"4.1.40";"2009-06-25"
"5.0.28";"2004-08-29"
"5.0.30";"2004-11-24"
"5.0.30-beta";"2004-11-24"
"5.5.12";"2005-09-23"
"5.5.16";"2006-03-16"
"5.5.16-beta";"2006-03-16"
"5.5.17";"2006-04-14"
"5.5.17-beta";"2006-04-14"
"5.5.20";"2006-09-30"
"5.5.20-copyforpermissions";"2006-12-24"
"5.5.20-original";"2007-01-02"
"5.5.23";"2007-03-08"
"5.5.25";"2007-09-07"
"5.5.26";"2008-02-04"
"5.5.27";"2008-09-05"
"5.5.28";"2010-04-20"
"5.5.29";"2010-04-20"
"5.5.30";"2010-07-08"
"5.5.31";"2010-09-16"
"5.5.32";"2011-01-23"
"5.5.33";"2011-02-08"
"5.5.34";"2011-09-18"
"5.5.35";"2012-06-13"
"5.5.36";"2012-10-09"
"6.0.0";"2006-10-21"
"6.0.0-alpha";"2006-10-21"
"6.0.1";"2006-11-08"
"6.0.1-alpha";"2006-11-08"
"6.0.2";"2006-11-16"
"6.0.2-alpha";"2006-11-16"
"6.0.2-beta";"2006-11-16"
"6.0.4";"2006-12-08"
"6.0.4-alpha";"2006-12-08"
"6.0.6";"2006-12-16"
"6.0.6-alpha";"2006-12-16"
"6.0.7";"2007-01-09"
"6.0.7-alpha";"2007-01-09"
"6.0.7-beta";"2007-01-09"
"6.0.8";"2007-01-18"
"6.0.8-alpha";"2007-01-18"
"6.0.9";"2007-02-07"
"6.0.9-alpha";"2007-02-07"
"6.0.9-beta";"2007-02-07"
"6.0.10";"2007-02-26"
"6.0.13";"2007-05-14"
"6.0.14";"2007-08-09"
"6.0.16";"2008-02-06"
"6.0.18";"2008-07-30"
"6.0.20";"2009-05-29"
"6.0.24";"2010-01-19"
"6.0.26";"2010-03-11"
"6.0.28";"2010-07-08"
"6.0.29";"2010-11-22"
"6.0.30";"2011-01-10"
"6.0.32";"2011-02-02"
"6.0.33";"2011-08-18"
"6.0.35";"2012-06-13"
"6.0.36";"2012-10-19"
"6.0.37";"2013-05-03"
"6.0.39";"2014-01-31"
"6.0.41";"2014-05-23"
"6.0.43";"2014-11-22"
"6.0.44";"2015-05-12"
"6.0.45";"2016-02-12"
"6.0.47";"2016-10-16"
"6.0.48";"2016-11-15"
"6.0.51";"2017-03-16"
"6.0.53";"2017-06-26"
"7.0.0-beta";"2010-06-13"
"7.0.2-beta";"2010-08-10"
"7.0.4-beta";"2010-11-22"
"7.0.5-beta";"2010-11-30"
"7.0.6";"2011-01-13"
"7.0.8";"2011-02-04"
"7.0.10";"2011-03-05"
"7.0.11";"2011-03-11"
"7.0.12";"2011-04-05"
"7.0.14";"2011-05-12"
"7.0.16";"2011-06-11"
"7.0.19";"2011-07-18"
"7.0.20";"2011-08-09"
"7.0.21";"2011-08-29"
"7.0.22";"2011-09-27"
"7.0.23";"2011-11-20"
"7.0.25";"2012-01-23"
"7.0.26";"2012-02-21"
"7.0.27";"2012-06-13"
"7.0.28";"2012-06-18"
"7.0.29";"2012-07-07"
"7.0.30";"2012-09-05"
"7.0.32";"2012-10-07"
"7.0.33";"2012-11-21"
"7.0.34";"2012-12-11"
"7.0.35";"2013-01-16"
"7.0.37";"2013-02-18"
"7.0.39";"2013-03-26"
"7.0.40";"2013-05-09"
"7.0.40.1";"2013-06-04"
"7.0.40.002";"2013-06-11"
"7.0.41";"2013-06-10"
"7.0.42";"2013-07-05"
"7.0.47";"2013-10-24"
"7.0.50";"2014-01-08"
"7.0.52";"2014-02-17"
"7.0.53";"2014-03-30"
"7.0.54";"2014-05-22"
"7.0.55";"2014-07-27"
