"version_full";"date (yyyy-mm-dd)"
"1.0.0";"2001-01-15"
"10.0.x-dev";"2020-03-22"
"2.0.0";"2001-03-15"
"3.0.0";"2001-09-15"
"3.0.1";"2001-10-15"
"4.0.0";"2002-06-15"
"4.1.0";"2003-02-01"
"4.2.0";"2003-08-01"
"4.3.0";"2003-11-01"
"4.3.1";"2003-12-01"
"4.3.2";"2004-01-01"
"4.4.0";"2004-04-01"
"4.4.1";"2004-05-01"
"4.4.2";"2004-07-04"
"4.4.3";"2005-06-01"
"4.5.0";"2004-10-18"
"4.5.1";"2004-12-01"
"4.5.2";"2005-01-15"
"4.5.3";"2005-06-01"
"4.5.4";"2005-06-29"
"4.5.5";"2005-08-15"
"4.5.6";"2005-11-30"
"4.5.7";"2005-12-12"
"4.5.8";"2006-03-13"
"4.6.0";"2005-04-15"
"4.6.1";"2005-06-01"
"4.6.10";"2006-10-18"
"4.6.11";"2007-01-05"
"4.6.2";"2005-06-29"
"4.6.3";"2005-08-15"
"4.6.4";"2005-11-30"
"4.6.5";"2005-12-12"
"4.6.6";"2006-03-13"
"4.6.7";"2006-05-24"
"4.6.8";"2006-06-01"
"4.6.9";"2006-08-02"
"4.6.x-dev";"2006-11-12"
"4.7.0";"2006-05-01"
"4.7.0-beta3";"2006-01-09"
"4.7.0-beta4";"2006-01-26"
"4.7.0-beta5";"2006-03-02"
"4.7.0-beta6";"2006-03-14"
"4.7.0-rc1";"2006-03-31"
"4.7.0-rc2";"2006-04-07"
"4.7.0-rc3";"2006-04-15"
"4.7.0-rc4";"2006-04-28"
"4.7.1";"2006-05-24"
"4.7.10";"2007-12-06"
"4.7.11";"2008-01-10"
"4.7.2";"2006-06-01"
"4.7.3";"2006-08-02"
"4.7.4";"2006-10-18"
"4.7.5";"2007-01-05"
"4.7.6";"2007-01-29"
"4.7.7";"2007-07-26"
"4.7.8";"2007-10-17"
"4.7.9";"2007-12-05"
"4.7.x-dev";"2006-11-14"
"5.0";"2007-01-15"
"5.0-beta1";"2006-10-31"
"5.0-beta2";"2006-11-28"
"5.0-rc1";"2006-12-15"
"5.0-rc2";"2007-01-10"
"5.1";"2007-01-29"
"5.10";"2008-08-14"
"5.11";"2008-10-08"
"5.12";"2008-10-22"
"5.13";"2008-12-10"
"5.14";"2008-12-11"
"5.15";"2009-01-14"
"5.16";"2009-02-25"
"5.17";"2009-04-30"
"5.18";"2009-05-13"
"5.19";"2009-07-01"
"5.2";"2007-07-26"
"5.20";"2009-09-16"
"5.21";"2009-12-16"
"5.22";"2010-03-04"
"5.23";"2010-08-11"
"5.3";"2007-10-17"
"5.4";"2007-12-05"
"5.5";"2007-12-06"
"5.6";"2008-01-10"
"5.7";"2008-01-28"
"5.8";"2008-07-09"
"5.9";"2008-07-23"
"5.x-dev";"2006-11-11"
"6.0";"2008-02-13"
"6.0-beta1";"2007-09-15"
"6.0-beta2";"2007-10-17"
"6.0-beta3";"2007-11-21"
"6.0-beta4";"2007-12-05"
"6.0-rc1";"2007-12-20"
"6.0-rc2";"2008-01-10"
"6.0-rc3";"2008-01-30"
"6.0-rc4";"2008-02-08"
"6.1";"2008-02-27"
"6.10";"2009-02-25"
"6.11";"2009-04-30"
"6.12";"2009-05-13"
"6.13";"2009-07-01"
"6.14";"2009-09-16"
"6.15";"2009-12-16"
"6.16";"2010-03-04"
"6.17";"2010-06-02"
"6.18";"2010-08-11"
"6.19";"2010-08-11"
"6.2";"2008-04-09"
"6.20";"2010-12-15"
"6.21";"2011-05-25"
"6.22";"2011-05-25"
"6.23";"2012-02-01"
"6.24";"2012-02-01"
"6.25";"2012-02-29"
"6.26";"2012-05-02"
"6.27";"2012-12-19"
"6.28";"2013-01-16"
"6.29";"2013-11-20"
"6.3";"2008-07-09"
"6.30";"2014-01-15"
"6.31";"2014-04-16"
"6.32";"2014-07-16"
"6.33";"2014-08-06"
"6.34";"2014-11-19"
"6.35";"2015-03-18"
"6.36";"2015-06-17"
"6.37";"2015-08-19"
"6.38";"2016-02-24"
"6.4";"2008-08-14"
"6.5";"2008-10-08"
"6.6";"2008-10-22"
"6.7";"2008-12-10"
"6.8";"2008-12-11"
"6.9";"2009-01-14"
"6.x-dev";"2006-11-13"
"7.0";"2011-01-05"
"7.0-alpha1";"2010-01-15"
"7.0-alpha2";"2010-02-21"
