"version_full";"date (yyyy-mm-dd)"
"9.1.4.2";"2014-04-13"
"9.1.5";"2014-05-18"
"9.2.0";"2014-05-30"
"9.2.1.20140609";"2014-06-14"
"9.2.2.20140723";"2014-07-30"
"9.2.3.20140905";"2014-09-11"
"9.2.4.20141103";"2014-11-06"
"9.2.5.20141112";"2014-11-15"
"9.2.6.20141205";"2014-12-12"
"9.2.7.20150116";"2015-01-22"
"9.2.8.20150217";"2015-02-21"
"9.2.9.20150224";"2015-02-27"
"9.2.10.20150310";"2015-04-01"
"9.2.11.20150529";"2015-05-31"
"9.3.0.20150612";"2015-06-16"
"9.3.1.20150714";"2015-07-17"
"9.3.2.20150730";"2015-08-05"
"9.3.3.20150827";"2015-09-08"
"9.3.5.20151012";"2015-10-15"
"9.3.6.20151106";"2015-11-15"
"9.3.7.20160115";"2016-02-27"
"9.3.8.20160314";"2016-03-16"
"9.3.9.20160517";"2016-05-19"
"9.4.14.20190104";"2019-01-04"
"9.4.15.20190215";"2019-03-05"
"9.4.16.20190411";"2019-04-19"
"9.4.17.20190418";"2019-04-28"
"9.4.18.20190429";"2019-06-02"
"9.4.19.20190610";"2019-07-30"
"9.4.20.20190813";"2019-09-20"
"9.4.26.20200117";"2020-01-25"
"9.4.27.20200227";"2020-02-29"
"9.4.28.20200408";"2020-04-11"
