"version_full";"date (yyyy-mm-dd)"
"79.0.309.71";"2020-01-23"
"80.0.361.48";"2020-02-07"
"80.0.361.50";"2020-02-11"
"80.0.361.66";"2020-03-05"
"80.0.361.69";"2020-03-19"
"80.0.361.103";"2020-03-30"
"80.0.361.109";"2020-04-01"
"80.0.361.111";"2020-04-07"
"81.0.416.53";"2020-04-13"
"81.0.416.58";"2020-04-17"
"81.0.416.62";"2020-04-22"
"81.0.416.64";"2020-04-23"
"81.0.416.72";"2020-05-07"
"81.0.416.77";"2020-05-18"
"83.0.478.37";"2020-05-21"
"83.0.478.44";"2020-06-01"
"83.0.478.45";"2020-06-04"
"83.0.478.50";"2020-06-15"
"83.0.478.54";"2020-06-17"
"83.0.478.56";"2020-06-24"
"83.0.478.58";"2020-06-30"
"83.0.478.61";"2020-07-07"
"84.0.522.40";"2020-07-16"
"84.0.522.44";"2020-07-24"
"84.0.522.48";"2020-07-28"
"84.0.522.49";"2020-07-29"
"84.0.522.50";"2020-07-31"
"84.0.522.52";"2020-08-02"
"84.0.522.58";"2020-08-11"
"84.0.522.59";"2020-08-12"
"84.0.522.61";"2020-08-17"
"84.0.522.63";"2020-08-20"
"85.0.564.41";"2020-08-28"
"85.0.564.44";"2020-09-01"
"85.0.564.51";"2020-09-10"
"85.0.564.63";"2020-09-24"
"85.0.564.68";"2020-10-02"
"85.0.564.70";"2020-10-07"
"86.0.622.38";"2020-10-08"
"86.0.622.43";"2020-10-15"
"86.0.622.48";"2020-10-20"
"86.0.622.51";"2020-10-22"
"86.0.622.56";"2020-10-27"
"86.0.622.58";"2020-10-30"
