"version_full";"version_short";"description";"date (yyyy-mm-dd)"
"4.0.837";"4.0.837";"Exchange Server 4.0 Standard Edition";"1996-06-11"
"4.0.838";"4.0.838";"Exchange Server 4.0 SP1";"1996-05-01"
"4.0.993";"4.0.993";"Exchange Server 4.0 SP2";"1996-07-19"
"4.0.994";"4.0.994";"Exchange Server 4.0 SP3";"1996-10-29"
"4.0.995";"4.0.995";"Exchange Server 4.0 SP4";"1997-03-28"
"4.0.996";"4.0.996";"Exchange Server 4.0 SP5";"1998-05-05"
"5.0.1457";"5.0.1457";"Exchange Server 5.0";"1997-05-23"
"5.0.1458";"5.0.1458";"Exchange Server 5.0 SP1";"1997-06-18"
"5.0.1460";"5.0.1460";"Exchange Server 5.0 SP2";"1998-02-19"
"5.5.1960";"5.5.1960";"Exchange Server version 5.5";"1998-02-03"
"5.5.2232";"5.5.2232";"Exchange Server version 5.5 SP1";"1998-08-05"
"5.5.2448";"5.5.2448";"Exchange Server version 5.5 SP2";"1998-12-23"
"5.5.2650";"5.5.2650";"Exchange Server version 5.5 SP3";"1999-09-09"
"5.5.2653";"5.5.2653";"Exchange Server version 5.5 SP4";"2000-11-01"
"6.0.4417";"6.0.4417";"Exchange 2000 Server";"2000-11-29"
"6.0.4712";"6.0.4712";"Exchange 2000 Server SP1";"2001-06-21"
"6.0.5762";"6.0.5762";"Exchange 2000 Server SP2";"2001-11-29"
"6.0.6249";"6.0.6249";"Exchange 2000 Server SP3";"2002-07-18"
"6.0.6487";"6.0.6487";"Exchange 2000 Server post-SP3";"September 2003"
"6.0.6556";"6.0.6556";"Exchange 2000 Server post-SP3";"April 2004"
"6.0.6603";"6.0.6603";"Exchange 2000 Server post-SP3";"August 2004"
"6.0.6620.5";"6.0.6620.5";"Exchange 2000 Server post-SP3";"March 2008"
"6.0.6620.7";"6.0.6620.7";"Exchange 2000 Server post-SP3";"August 2008"
"6.5.6944";"6.5.6944";"Exchange Server 2003";"2003-09-28"
"6.5.7226";"6.5.7226";"Exchange Server 2003 SP1";"May25, 2004"
"6.5.7653.33";"6.5.7653.33";"Exchange Server 2003 post-SP2";"March 2008"
"6.5.7654.4";"6.5.7654.4";"Exchange Server 2003 post-SP2";"August 2008"
"6.5.7683";"6.5.7683";"Exchange Server 2003 SP2";"2005-10-19"
"8.00.0685.025";"8.0.685.25";"Exchange Server 2007 RTM";"2007-03-08"
"8.00.0708.003";"8.0.708.3";"Update Rollup 1 for Exchange Server 2007";"2007-04-17"
"8.00.0711.002";"8.0.711.2";"Update Rollup 2 for Exchange Server 2007";"2007-05-08"
"8.00.0730.001";"8.0.730.1";"Update Rollup 3 for Exchange Server 2007";"2007-06-28"
"8.00.0744.000";"8.0.744.0";"Update Rollup 4 for Exchange Server 2007";"2007-08-23"
"8.00.0754.000";"8.0.754.0";"Update Rollup 5 for Exchange Server 2007";"2007-10-25"
"8.00.0783.002";"8.0.783.2";"Update Rollup 6 for Exchange Server 2007";"2008-02-21"
"8.00.0813.000";"8.0.813.0";"Update Rollup 7 for Exchange Server 2007";"2008-07-08"
"8.01.0240.000";"8.1.240.0";"Service Pack 1 for Exchange Server 2007";"2007-11-29"
"8.01.0240.006";"8.1.240.6";"Exchange Server 2007 SP1";"2007-11-29"
"8.01.0263.001";"8.1.263.1";"Update Rollup 1 for Exchange Server 2007 SP1";"2008-02-28"
"8.01.0278.002";"8.1.278.2";"Update Rollup 2 for Exchange Server 2007 SP1";"2008-05-09"
"8.01.0291.002";"8.1.291.2";"Update Rollup 3 for Exchange Server 2007 SP1";"2008-07-08"
"8.01.0311.003";"8.1.311.3";"Update Rollup 4 for Exchange Server 2007 SP1";"2008-10-07"
"8.01.0336.01";"8.1.336.1";"Update Rollup 5 for Exchange Server 2007 SP1";"2008-11-20"
"8.01.0340.001";"8.1.340.1";"Update Rollup 6 for Exchange Server 2007 SP1";"2009-02-10"
"8.01.0359.002";"8.1.359.2";"Update Rollup 7 for Exchange Server 2007 SP1";"2009-03-18"
"8.01.0375.002";"8.1.375.2";"Update Rollup 8 for Exchange Server 2007 SP1";"2009-05-19"
"8.01.0393.001";"8.1.393.1";"Update Rollup 9 for Exchange Server 2007 SP1";"2009-07-16"
"8.01.0436.000";"8.1.436.0";"Update Rollup 10 for Exchange Server 2007 SP1";"2010-04-13"
"8.02.0176.002";"8.2.176.2";"Exchange Server 2007 SP2";"2009-08-24"
"8.02.0217.003";"8.2.217.3";"Update Rollup 1 for Exchange Server 2007 SP2";"2009-11-19"
"8.02.0234.001";"8.2.234.1";"Update Rollup 2 for Exchange Server 2007 SP2";"2010-01-22"
"8.02.0247.002";"8.2.247.2";"Update Rollup 3 for Exchange Server 2007 SP2";"2010-03-17"
"8.02.0254.000";"8.2.254.0";"Update Rollup 4 for Exchange Server 2007 SP2";"2010-04-09"
"8.02.0305.003";"8.2.305.3";"Update Rollup 5 for Exchange Server 2007 SP2";"2010-12-07"
"8.03.0083.006";"8.3.83.6";"Exchange Server 2007 SP3";"2010-06-07"
"8.03.0106.002";"8.3.106.2";"Update Rollup 1 for Exchange Server 2007 SP3";"2010-09-09"
"8.03.0137.003";"8.3.137.3";"Update Rollup 2 for Exchange Server 2007 SP3";"2010-12-10"
"8.03.0159.000";"8.3.159.0";"Update Rollup 3 for Exchange Server 2007 SP3 (KB2492691)";"2011-03-02"
"8.03.0159.002";"8.3.159.2";"Update Rollup 3-v2 for Exchange Server 2007 SP3";"2011-03-30"
"8.03.0192.001";"8.3.192.1";"Update Rollup 4 for Exchange Server 2007 SP3";"2011-05-28"
"8.03.0213.001";"8.3.213.1";"Update Rollup 5 for Exchange Server 2007 SP3";"2011-09-21"
