"version_full";"description";"date (yyyy-mm-dd)"
"6.0.121";"Microsoft SQL Server 6.0 RTM";"1995-06-13"
"6.0.124";"Microsoft SQL Server 6.0 Service Pack 1 (SP1)";""
"6.0.139";"Microsoft SQL Server 6.0 Service Pack 2 (SP2)";""
"6.0.151";"Microsoft SQL Server 6.0 Service Pack 3 (SP3)";""
"6.50.201";"Microsoft SQL Server 6.5 RTM";"1996-06-30"
"6.50.213";"Microsoft SQL Server 6.5 Service Pack 1 (SP1)";""
"6.50.240";"Microsoft SQL Server 6.5 Service Pack 2 (SP2)";""
"6.50.252";"Microsoft SQL Server 6.5 Service Pack 3 (SP3)";""
"6.50.258";"Microsoft SQL Server 6.5 Service Pack 3a (SP3a)";""
"6.50.259";"6.5 as included with ""Small Business Server"" only";""
"6.50.281";"Microsoft SQL Server 6.5 Service Pack 4 (SP4)";""
"6.50.297";"Site Server 3.0 Commerce Edition hotfix";""
"6.50.339";"Y2K hotfix";""
"6.50.415";"Microsoft SQL Server 6.5 Service Pack 5 (SP5)";""
"6.50.416";"Microsoft SQL Server 6.5 Service Pack 5a (SP5a)";"1998-12-24"
"6.50.422";"FIX: Large Query Text from Socket Client May Cause Open Data Services Access Violation";""
"6.50.441";"FIX: SNMP Extended Stored Procedures May Leak Memory";""
"6.50.444";"FIX: Multiple Attachments not Sent Correctly Using xp_sendmail";""
"6.50.451";"FIX: ODS Errors During Attention Signal May Cause SQL Server to Stop Responding";""
"6.50.462";"FIX: Terminating Clients with TSQL KILL May Cause ODS AV";""
"6.50.464";"FIX: Insert Error (Msg 213) with NO_BROWSETABLE and INSERT EXEC";"1999-11-08"
"6.50.465";"FIX: Memory Leak with xp_sendmail Using Attachments";""
"6.50.469";"FIX: SQL Performance Counters May Cause Handle Leak in WinLogon Process";""
"6.50.479";"Microsoft SQL Server 6.5 Post Service Pack 5a Update";"2000-09-12"
"6.50.480";"FIX: Integrated Security Sprocs Have Race Condition Between Threads That Can Result in an Access Violation";"2005-10-07"
"7.0.517";"SQL Server 7.0 Beta 3";""
"7.0.583";"SQL Server 7.0 RC1";""
"7.0.623";"SQL Server 7.0 RTM (Gold, no SP)";"1998-11-27"
"7.0.643";"FIX: SQL Cluster Install Fails When SVS Name Contains Special Characters";"2005-10-05"
"7.0.657";"FIX: Unable to Perform Automated Installation of SQL 7.0 Using File Images";"2005-10-05"
"7.0.658";"FIX: Access Violation Under High Cursor Stress";"2006-03-14"
"7.0.662";"FIX: Query with Complex View Hierarchy May Be Slow to Compile";"2005-10-05"
"7.0.677";"SQL Server 7.0 MSDE from Office 2000 disc";""
"7.0.689";"SQL Server 7.0 Service Pack 1 (SP1) Beta";""
"7.0.699";"SQL Server 7.0 Service Pack 1 (SP1)";"1999-07-01"
"7.0.722";"FIX: Replication: Problems Mapping Characters to DB2 OLEDB Subscribers";"2005-10-05"
"7.0.745";"FIX: SQL Server Components that Access the Registry in a Cluster Environment May Cause a Memory Leak";"2005-10-07"
"7.0.770";"FIX: Slow Compile Time on Complex Joins with Unfiltered Table";"2006-03-14"
"7.0.776";"FIX: Non-Admin User That Executes Batch While Server Shuts Down May Encounter Retail Assertion";"2006-03-14"
"7.0.835";"SQL Server 7.0 Service Pack 2 (SP2) Beta";""
"7.0.839";"SQL Server 7.0 Service Pack 2 (SP2) Unidentified";""
"7.0.842";"SQL Server 7.0 Service Pack 2 (SP2)";"2000-03-20"
"7.0.843";"FIX: Temporary Stored Procedures in SA Owned Databases May Bypass Permission Checks When You Run Stored Procedures";"2006-03-14"
"7.0.857";"FIX: Transactional Publications with a Filter on Numeric Columns Fail to Replicate Data";"2006-03-14"
"7.0.879";"FIX: Linked Index Server Query Through OLE DB Provider with OR Clause Reports Error 7349";"2006-03-14"
"7.0.889";"FIX: Replication Initialize Method Causes Handle Leak on Failure";"2005-10-05"
"7.0.905";"FIX: Data Modification Query with a Distinct Subquery on a View May Cause Error 3624";"2004-07-15"
"7.0.910";"FIX: SQL RPC That Raises Error Will Mask @@ERROR with Msg 7221";"2003-10-31"
"7.0.917";"FIX: Bcp.exe with Long Query String Can Result in Assertion Failure";"2005-09-26"
"7.0.918";"FIX: Buffer Overflow Exploit Possible with Extended Stored Procedures";"2004-06-29"
"7.0.919";"FIX: Incorrect Results with Join of Column Converted to Binary";"2003-10-29"
"7.0.921";"FIX: SQL Server May Generate Nested Query For Linked Server When Option Is Disabled";"2002-10-15"
"7.0.961";"SQL Server 7.0 Service Pack 3 (SP3)";"2000-12-15"
"7.0.970";"FIX: SQL Server May Generate Nested Query For Linked Server When Option Is Disabled";"2002-10-15"
"7.0.977";"FIX: SQL Server Profiler and SQL Server Agent Alerts May Fail to Work After Installing SQL Server 7.0 SP3";"2002-04-25"
"7.0.978";"FIX: Update With Self Join May Update Incorrect Number Of Rows";"2003-10-28"
"7.0.996";"FIX: Query Method Used to Access Data May Allow Rights that the Login Might Not Normally Have";"2004-08-09"
"7.0.1004";"FIX: SQL Server Text Formatting Functions Contain Unchecked Buffers";"2004-08-05"
"7.0.1026";"FIX: Assertion and Error Message 3314 Occurs If You Try to Roll Back a Text Operation with READ UNCOMMITTED";"2005-10-18"
"7.0.1033";"FIX: Error message 9004 may occur when you restore a log that does not contain any transactions";"2005-10-12"
"7.0.1063";"SQL Server 7.0 Service Pack 4 (SP4)";"2002-04-26"
"7.0.1077";"SQL Server 2000 Security Update for Service Pack 2";"2006-11-24"
"7.0.1078";"INF: SQL Server 7.0 Security Update for Service Pack 4";"2005-09-27"
"7.0.1079";"FIX: Replication Removed from Database After Restore WITH RECOVERY";"2005-10-11"
"7.0.1087";"FIX: SQL Server 7.0 Scheduler May Periodically Stop Responding During Large Sort Operation";"2005-09-27"
"7.0.1092";"FIX: Delayed domain authentication may cause SQL Server to stop responding";"2005-10-25"
"7.0.1094";"MS03-031: Security patch for SQL Server 7.0 Service Pack 4";"2006-05-11"
