"version_full";"date (yyyy-mm-dd)"
"2.0.2.1";"2012-02-06"
"2.0.2.2";"2012-02-06"
"2.2.0.1";"2012-09-28"
"2.4.7.1";"2013-12-22"
"3.0.3";"2015-05-20"
"3.2.6";"2016-05-27"
"3.2.7";"2016-06-07"
"3.2.8";"2016-07-20"
"3.2.9";"2016-08-16"
"3.2.10";"2016-10-27"
"3.4.5";"2017-07-03"
"3.4.6";"2017-07-18"
"3.4.7";"2017-08-08"
"3.6.0";"2017-12-19"
"4.0.4";"2018-12-09"
"4.0.5";"2018-12-20"
"4.0.6";"2019-02-07"
"4.0.7";"2019-03-25"
"4.0.8";"2019-03-29"
"4.0.9";"2019-04-16"
"4.0.10";"2019-05-30"
"4.0.11";"2019-07-27"
"4.0.12";"2019-08-09"
"4.2.0";"2019-08-18"
"4.2.1";"2019-10-18"
"4.2.2";"2019-12-10"
"4.2.3";"2020-01-28"
"4.2.4";"2020-03-12"
"4.2.5";"2020-03-24"
"4.2.6";"2020-04-20"
"4.2.7";"2020-05-25"
"4.2.8";"2020-06-16"
"4.4.0";"2020-08-01"
"4.4.0.20200814";"2020-08-14"
"4.4.1";"2020-09-09"
"4.4.1-rc0";"2020-08-22"
"4.4.1-rc1";"2020-08-25"
"4.4.1-rc2";"2020-08-27"
"4.4.1-rc3";"2020-09-02"
"4.4.2-rc0";"2020-10-29"
