"version_full";"date (yyyy-mm-dd)"
"0.2";"2002-10-01"
"0.3";"2002-10-14"
"0.5";"2002-12-07"
"0.6.1";"2003-07-28"
"0.7";"2003-10-15"
"0.7.1";"2003-10-26"
"0.9";"2004-06-15"
"0.9.1";"2004-06-28"
"0.9.2";"2004-07-08"
"0.9.3";"2004-08-04"
"0.10";"2004-09-14"
"0.10.1";"2004-10-01"
"1.0";"2004-11-03"
"1.0.1";"2005-02-24"
"1.0.2";"2005-03-23"
"1.0.3";"2005-04-15"
"1.0.4";"2005-05-11"
"1.0.5";"2005-07-12"
"1.0.6";"2005-07-19"
"1.0.7";"2005-09-20"
"1.0.8";"2006-04-13"
"1.1";"2005-07-12"
"1.3";"2002-10-19"
"1.5";"2005-05-31"
"1.5.0.1";"2006-02-01"
"1.5.0.2";"2006-04-13"
"1.5.0.3";"2006-05-02"
"1.5.0.4";"2006-06-01"
"1.5.0.5";"2006-07-26"
"1.5.0.6";"2006-08-02"
"1.5.0.7";"2006-09-14"
"1.5.0.8";"2006-11-07"
"1.5.0.9";"2006-12-19"
"1.5.0.10";"2007-02-23"
"1.5.0.11";"2007-03-20"
"1.5.0.12";"2007-05-30"
"1.7";"2004-06-09"
"2.0";"2006-05-12"
"2.0.0.1";"2006-12-19"
"2.0.0.2";"2007-02-23"
"2.0.0.3";"2007-03-20"
"2.0.0.4";"2007-05-30"
"2.0.0.5";"2007-07-17"
"2.0.0.6";"2007-07-30"
"2.0.0.7";"2007-09-18"
"2.0.0.8";"2007-10-18"
"2.0.0.9";"2007-11-01"
"2.0.0.10";"2007-11-26"
"2.0.0.11";"2007-11-30"
"2.0.0.12";"2008-02-07"
"2.0.0.13";"2008-03-25"
"2.0.0.14";"2008-04-16"
"2.0.0.15";"2008-07-01"
"2.0.0.16";"2008-07-15"
"2.0.0.17";"2008-09-23"
"2.0.0.18";"2008-11-12"
"2.0.0.19";"2008-12-16"
"2.0.0.20";"2008-12-18"
"3.0";"2007-02-07"
"3.0.1";"2008-07-16"
"3.0.2";"2008-09-23"
"3.0.3";"2008-09-26"
"3.0.4";"2008-11-12"
"3.0.5";"2008-12-16"
"3.0.6";"2009-02-03"
"3.0.7";"2009-03-04"
"3.0.8";"2009-03-27"
"3.0.9";"2009-04-21"
"3.0.10";"2009-04-27"
"3.0.11";"2009-06-11"
"3.0.12";"2009-07-21"
"3.0.13";"2009-08-03"
"3.0.14";"2009-09-09"
"3.0.15";"2009-10-27"
"3.0.16";"2009-12-15"
"3.0.17";"2010-01-05"
"3.0.18";"2010-02-17"
"3.0.19";"2010-03-30"
"3.1";"2008-09-05"
"3.5";"2008-07-28"
"3.5.1";"2009-07-16"
"3.5.2";"2009-08-03"
"3.5.3";"2009-09-09"
"3.5.4";"2009-10-27"
"3.5.5";"2009-11-05"
"3.5.6";"2009-12-15"
"3.5.7";"2010-01-05"
"3.5.8";"2010-02-17"
"3.5.9";"2010-03-30"
"3.5.10";"2010-06-22"
"3.5.11";"2010-07-20"
"3.5.12";"2010-09-07"
"3.5.13";"2010-09-15"
"3.5.14";"2010-10-19"
"3.5.15";"2010-10-27"
"3.5.16";"2010-12-09"
"3.5.17";"2011-03-01"
"3.5.18";"2011-03-22"
"3.5.19";"2011-04-28"
"3.6";"2009-08-07"
"3.6.2";"2010-03-22"
"3.6.3";"2010-04-01"
"3.6.4";"2010-06-22"
"3.6.6";"2010-06-26"
"3.6.7";"2010-07-20"
"3.6.8";"2010-07-23"
"3.6.9";"2010-09-07"
"3.6.10";"2010-09-15"
"3.6.11";"2010-10-19"
"3.6.12";"2010-10-27"
"3.6.13";"2010-12-09"
"3.6.14";"2011-03-01"
"3.6.15";"2011-03-04"
"3.6.16";"2011-03-22"
"3.6.17";"2011-04-28"
"3.6.18";"2011-06-21"
"3.6.19";"2011-07-11"
"3.6.20";"2011-08-16"
"3.6.21";"2011-08-30"
"3.6.22";"2011-09-06"
"3.6.23";"2011-09-27"
"3.6.24";"2011-11-08"
"3.6.25";"2011-12-20"
"3.6.26";"2012-01-31"
"3.6.27";"2012-02-17"
"3.6.28";"2012-03-13"
"3.7";"2010-03-03"
"4.0";"2010-07-27"
"4.0.1";"2011-04-28"
"5.0";"2011-05-04"
"5.0.1";"2011-07-11"
"6.0";"2011-05-25"
"6.0.1";"2011-08-30"
"6.0.2";"2011-09-06"
"7.0";"2011-07-06"
"7.0.1";"2011-09-29"
"8.0";"2011-08-19"
"8.0.1";"2011-11-21"
"9.0";"2011-09-28"
"9.0.1";"2011-12-21"
"10.0";"2011-11-09"
"10.0.1";"2012-02-10"
"10.0.2";"2012-02-16"
"10.0.3";"2012-03-13"
"10.0.4";"2012-04-24"
"10.0.5";"2012-06-05"
"10.0.6";"2012-07-17"
"10.0.7";"2012-08-28"
"10.0.8";"2012-10-09"
"10.0.9";"2012-10-12"
"10.0.10";"2012-10-26"
"10.0.11";"2012-11-20"
"10.0.12";"2013-01-08"
"11.0";"2011-12-21"
"12.0";"2012-02-02"
"13.0";"2012-03-19"
"13.0.1";"2012-06-15"
"14.0";"2012-04-27"
"14.0.1";"2012-07-17"
"15.0";"2012-06-05"
"15.0.1";"2012-09-06"
"16.0";"2012-07-17"
"16.0.1";"2012-10-11"
"16.0.2";"2012-10-26"
"17.0";"2012-08-28"
"17.0.1";"2012-11-30"
"17.0.2";"2013-01-08"
"17.0.3";"2013-02-19"
"17.0.4";"2013-03-07"
