"version_full";"date (yyyy-mm-dd)"
"5.5.13";"2011-08-23"
"5.5.14.1";"2011-08-23"
"5.5.18";"2011-11-29"
"5.5.19";"2011-12-17"
"5.5.20";"2012-01-22"
"5.5.21";"2012-02-25"
"5.5.22";"2012-04-11"
"5.5.24";"2012-05-27"
"5.5.25";"2012-06-03"
"5.5.25.20120706";"2012-07-06"
"5.5.27";"2012-08-06"
"5.5.28";"2012-09-29"
"5.5.29";"2012-12-21"
"5.5.30";"2013-02-04"
"5.6.11";"2013-05-24"
"5.6.12";"2013-06-04"
"5.6.12.20130608";"2013-06-08"
"5.6.12.20130618";"2013-06-18"
"5.6.13";"2013-07-31"
"5.6.14";"2013-09-20"
"5.6.15";"2013-12-03"
"5.6.19";"2014-07-18"
"5.6.20";"2014-08-01"
"5.6.21";"2014-09-24"
"5.6.23";"2015-02-02"
"5.6.24";"2015-04-07"
"5.6.25";"2015-05-30"
"5.6.25.20150611";"2015-06-11"
"5.6.26";"2015-07-24"
"5.6.27";"2015-09-30"
"5.7.9";"2015-10-21"
"5.7.9.20151029";"2015-10-29"
"5.7.10";"2015-12-07"
"5.7.10.20151209";"2015-12-09"
"5.7.11";"2016-02-05"
"5.7.11.20160317";"2016-03-17"
"5.7.12";"2016-04-11"
"5.7.13";"2016-06-02"
"5.7.14";"2016-07-29"
"5.7.15";"2016-09-06"
"5.7.16";"2016-10-12"
"5.7.17";"2016-12-12"
"5.7.18";"2017-04-10"
"8.0.13";"2018-12-27"
"8.0.14";"2019-01-21"
"8.0.15";"2019-02-02"
"8.0.16";"2019-04-25"
"8.0.16.20190513";"2019-05-13"
"8.0.17";"2019-07-22"
"8.0.18";"2019-10-14"
"8.0.19";"2020-01-13"
"8.0.20";"2020-04-27"
"8.0.21";"2020-07-13"
"8.0.22";"2020-10-20"
