"version_full";"date (yyyy-mm-dd)"
"1.2.7.20130212";"2013-02-12"
"1.3.12.20130213";"2013-02-13"
"1.4.1.20130523";"2013-05-23"
"1.6.2";"2014-11-25"
"1.8.0";"2015-10-02"
"1.10.1";"2016-06-01"
"1.10.2";"2016-10-20"
"1.10.3";"2017-01-31"
"1.12.0";"2017-04-12"
"1.12.1";"2017-07-18"
"1.12.2";"2017-12-19"
"1.14.1";"2018-11-21"
"1.15.8";"2019-01-07"
"1.15.9";"2019-02-26"
"1.15.9.20190310";"2019-03-10"
"1.15.10";"2019-03-26"
"1.15.11";"2019-04-09"
"1.15.12";"2019-04-16"
"1.17.0";"2019-05-21"
"1.17.1";"2019-06-25"
"1.17.2";"2019-07-23"
"1.17.3";"2019-08-13"
"1.17.4";"2019-09-24"
"1.17.5";"2019-10-22"
"1.17.6";"2019-11-19"
"1.17.7";"2019-12-24"
"1.17.8";"2020-01-21"
"1.17.9";"2020-03-03"
"1.17.10";"2020-04-14"
"1.19.0";"2020-05-26"
"1.19.1";"2020-07-07"
"1.19.2";"2020-08-11"
"1.19.3";"2020-09-29"
"1.19.4";"2020-10-27"
"1.19.5";"2020-11-24"
"1.19.6";"2020-12-15"
