"version_full";"date (yyyy-mm-dd)"
"4.0.0";"2010-12-22"
"4.0.2";"2011-01-18"
"4.0.4";"2011-02-17"
"4.0.6";"2011-04-21"
"4.0.8";"2011-05-16"
"4.0.10";"2011-06-27"
"4.0.12";"2011-07-15"
"4.0.14";"2011-10-18"
"4.0.16";"2012-01-11"
"4.0.18";"2012-12-18"
"4.0.20";"2013-10-11"
"4.0.22";"2014-01-10"
"4.0.24";"2014-03-14"
"4.0.26";"2014-07-15"
"4.0.28";"2015-01-17"
"4.0.30";"2015-05-19"
"4.0.32";"2015-07-10"
"4.0.34";"2015-10-20"
"4.0.36";"2015-11-11"
"4.1.0";"2011-07-19"
"4.1.2";"2011-08-15"
"4.1.4";"2011-10-03"
"4.1.6";"2011-11-04"
"4.1.8";"2011-12-19"
"4.1.10";"2012-03-13"
"4.1.12";"2012-04-02"
"4.1.14";"2012-04-26"
"4.1.16";"2012-05-22"
"4.1.18";"2012-06-20"
"4.1.20";"2012-08-20"
"4.1.22";"2012-09-07"
"4.1.24";"2012-12-19"
"4.1.26";"2013-04-12"
"4.1.28";"2013-10-11"
"4.1.30";"2014-01-10"
"4.1.32";"2014-03-13"
"4.1.34";"2014-07-15"
"4.1.36";"2015-01-17"
"4.1.38";"2015-05-19"
"4.1.40";"2015-07-10"
"4.1.42";"2015-10-20"
"4.1.44";"2015-11-11"
"4.2.0";"2012-09-13"
"4.2.2";"2012-10-18"
"4.2.2.20121022";"2012-10-22"
"4.2.4";"2012-10-26"
"4.2.6";"2012-12-19"
"4.2.6.20130130";"2013-01-30"
"4.2.8";"2013-02-27"
"4.2.10";"2013-03-15"
"4.2.12";"2013-04-12"
"4.2.14";"2013-06-21"
"4.2.16";"2013-07-04"
"4.2.18";"2013-09-06"
"4.2.18.20130916";"2013-09-17"
"4.2.20";"2013-11-28"
"4.2.22";"2014-01-10"
"4.2.24";"2014-03-13"
"4.2.26";"2014-07-15"
"4.2.28";"2015-01-17"
"4.2.30";"2015-05-19"
"4.2.32";"2015-07-10"
"4.2.34";"2015-10-20"
"4.2.36";"2015-11-11"
"4.3.0";"2013-10-15"
"4.3.2";"2013-11-01"
"4.3.4";"2013-11-29"
"4.3.6";"2013-12-18"
"4.3.8";"2014-02-25"
"4.3.10";"2014-03-25"
"4.3.10.20140327";"2014-03-27"
"4.3.10.20140513";"2014-05-13"
"4.3.12";"2014-05-16"
"4.3.14";"2014-07-15"
"4.3.16";"2014-09-09"
"4.3.18";"2014-10-10"
"4.3.20";"2014-11-21"
"4.3.20.20141125";"2014-11-25"
"4.3.22";"2015-02-12"
"4.3.24";"2015-03-02"
"4.3.26";"2015-03-16"
"4.3.28";"2015-05-13"
"4.3.30";"2015-07-10"
"4.3.32";"2015-10-20"
"4.3.34";"2015-11-11"
"4.3.36";"2016-01-19"
"4.3.38";"2016-04-19"
"4.3.40";"2016-08-22"
"5.0.0.101573";"2015-07-12"
"5.0.2";"2015-08-13"
"5.0.2.102096";"2015-08-13"
"5.0.4";"2015-09-08"
"5.0.4.102546";"2015-09-08"
"5.0.6";"2015-10-02"
"5.0.6.103037";"2015-10-02"
"5.0.8";"2015-10-20"
"5.0.8.103449";"2015-10-20"
"5.0.10";"2015-11-10"
"5.0.10.104061";"2015-11-10"
"5.0.12";"2015-12-18"
"5.0.12.104815";"2015-12-19"
"5.0.14";"2016-01-19"
"5.0.14.105127";"2016-01-20"
"5.0.16";"2016-03-04"
"5.0.16.105871";"2016-03-17"
"5.0.18";"2016-04-18"
"5.0.20";"2016-04-28"
"5.0.20.106931";"2016-05-08"
"5.0.22";"2016-06-16"
"5.0.22.108108";"2016-06-16"
"5.0.24";"2016-06-28"
"5.0.24.108355";"2016-06-28"
"5.0.26";"2016-07-18"
"5.0.28";"2016-10-18"
"5.0.30";"2016-11-23"
"5.0.32";"2017-01-17"
"5.0.34";"2017-03-08"
"5.0.36";"2017-03-15"
"5.0.38";"2017-04-18"
"5.0.40";"2017-04-28"
"5.1.0";"2016-07-12"
"5.1.0.108711";"2016-07-17"
"5.1.2";"2016-07-21"
"5.1.2.108956";"2016-07-21"
"5.1.4";"2016-08-16"
"5.1.4.110228";"2016-08-17"
"5.1.4.110229";"2016-09-12"
"5.1.6";"2016-09-12"
"5.1.8";"2016-10-18"
"5.1.8.20161103";"2016-11-03"
"5.1.8.20161116";"2016-11-16"
"5.1.10";"2016-11-21"
