"version_full";"date (yyyy-mm-dd)"
"0.45";"1999-01-22"
"0.46";"1999-07-09"
"0.47";"1999-08-27"
"0.48";"1999-11-18"
"0.49";"2000-06-28"
"0.50";"2000-10-16"
"0.51";"2000-12-14"
"0.52";"2002-01-14"
"0.53";"2002-10-01"
"0.53b";"2002-11-12"
"0.54";"2004-02-12"
"0.55";"2004-08-03"
"0.56";"2004-10-26"
"0.57";"2005-02-20"
"0.58";"2005-04-05"
"0.59";"2007-01-24"
"0.60";"2007-04-29"
"0.61";"2011-07-12"
"0.61.1";"2011-11-19"
"0.62";"2011-12-10"
"0.62.0.1";"2012-12-10"
"0.62.0.2";"2013-05-31"
"0.63";"2013-08-06"
"0.64";"2015-02-28"
"0.65";"2015-07-25"
"0.66";"2015-11-07"
"0.67";"2016-03-05"
"0.68";"2017-02-21"
"0.68.0.20170412";"2017-04-12"
"0.69";"2017-04-29"
"0.70";"2017-07-08"
"0.70.0.20171219";"2017-12-19"
"0.71";"2019-03-16"
"0.72";"2019-07-20"
"0.73";"2019-09-29"
