"version_full";"date (yyyy-mm-dd)"
"0.8.4";"2005-11-27"
"0.8.5";"2006-05-07"
"0.8.6";"2006-12-11"
"0.9.2";"2008-09-15"
"0.9.3";"2008-09-28"
"0.9.4";"2008-10-08"
"0.9.5";"2008-10-24"
"0.9.6";"2008-11-09"
"0.9.7";"2008-12-01"
"0.9.8";"2008-12-05"
"0.9.9";"2009-04-02"
"1.0.0";"2009-07-07"
"1.0.1";"2009-07-28"
"1.0.2";"2009-09-23"
"1.0.3";"2009-10-31"
"1.0.5";"2010-01-31"
"1.1.0";"2010-06-22"
"1.1.1";"2010-07-22"
"1.1.2";"2010-07-30"
"1.1.3";"2010-08-19"
"1.1.4";"2010-08-27"
"1.1.5";"2010-11-14"
"1.1.6";"2011-01-24"
"1.1.7";"2011-02-02"
"1.1.8";"2011-03-24"
"1.1.9";"2011-04-13"
"1.1.10";"2011-06-06"
"1.1.11";"2011-07-16"
"2.0.0";"2012-02-19"
"2.0.1";"2012-03-19"
"2.0.2";"2012-07-01"
"2.0.3";"2012-07-19"
"2.0.4";"2012-10-19"
"2.0.5";"2012-12-16"
"2.0.6";"2013-04-12"
"2.0.7";"2013-06-11"
"2.0.8";"2013-07-30"
"2.1.0";"2013-09-26"
"2.1.1";"2013-11-15"
"2.1.2";"2013-12-10"
"2.1.3";"2014-02-05"
"2.1.5";"2014-07-27"
"2.2.0";"2015-02-28"
"2.2.1";"2015-04-16"
"2.2.2";"2016-02-06"
"2.2.3";"2016-05-03"
"2.2.4";"2016-06-05"
"2.2.5.1";"2017-05-12"
"2.2.6";"2017-05-25"
"2.2.8";"2017-12-05"
"3.0.0";"2018-02-09"
"3.0.1";"2018-02-28"
"3.0.2";"2018-04-23"
"3.0.3";"2018-05-31"
"3.0.4";"2018-09-01"
"3.0.5";"2018-12-27"
"3.0.6";"2019-01-11"
"3.0.7";"2019-06-07"
"3.0.7.1";"2019-06-12"
"3.0.8";"2019-08-20"
"3.0.9.2";"2020-04-10"
"3.0.10";"2020-04-29"
"3.0.11";"2020-06-17"
"3.0.12";"2021-01-18"
