"version_full";"date (yyyy-mm-dd)"
"3.0.0";"2014-07-22"
"3.1.0";"2014-09-10"
"3.2.0";"2014-12-15"
"3.3.0";"2015-03-15"
"3.4.0";"2015-06-06"
"3.5.0";"2015-09-10"
"3.5.2";"2015-12-23"
"4.0.0";"2016-03-23"
"4.0.1";"2016-04-03"
"4.1.0";"2016-06-30"
"4.10.0";"2018-12-14"
"4.2.0";"2016-09-21"
"4.3.0";"2016-12-12"
"4.4.0";"2017-04-10"
"4.8.1";"2018-08-24"
"5.0.0";"2019-04-04"
"5.1.0";"2019-07-09"
"5.2.0";"2019-09-17"
"5.3.0.15208953";"2019-12-19"
"5.4.0.15805437";"2020-03-18"
"5.4.1.15897311";"2020-03-25"
"5.4.2.15936851";"2020-04-14"
"5.4.3.16346110";"2020-07-03"
"5.4.4.16879994";"2020-10-19"
"5.5.0.16975072";"2020-10-19"
"8.0.0.16531419";"2020-08-14"
