"version_full";"date (yyyy-mm-dd)"
"1.0";"1999-09-07"
"1.0.1";"1999-11-15"
"1.0.2";"1999-06-25"
"1.0.3";"1999-07-20"
"1.1";"1999-10-11"
"1.1.1";"1999-10-18"
"1.1.2";"1999-11-13"
"2.0.1";"2000-06-19"
"2.0.2";"2000-08-01"
"2.0.3";"2000-11-02"
"2.0.4";"2001-05-21"
"3.1.1";"2002-04-09"
"3.2";"2002-09-16"
"4.0.1";"2003-07-21"
"4.0.2";"2003-08-21"
"4.0.5";"2003-10-02"
"4.5.1";"2004-03-15"
"4.5.2";"2004-06-11"
"4.5.3";"2005-12-27"
"5.5";"2005-11-29"
"5.5.1";"2005-12-20"
"5.5.2";"2006-08-10"
"5.5.3";"2006-11-06"
"5.5.4";"2007-04-26"
"5.5.5";"2007-09-18"
"5.5.6";"2008-03-14"
"5.5.7";"2008-05-29"
"5.5.8";"2008-08-28"
"5.5.9";"2008-11-06"
"6.0.1";"2007-09-18"
"6.0.2";"2007-10-18"
"6.0.3";"2008-03-14"
"6.0.4";"2008-05-29"
"6.0.5";"2008-08-28"
"6.5";"2008-09-23"
"6.5.1";"2008-11-21"
"6.5.2";"2009-03-31"
"6.5.3";"2009-08-21"
"6.5.4";"2010-04-08"
"6.5.5";"2010-12-02"
"7.0.1";"2010-01-29"
"7.1";"2010-05-25"
"7.1.1";"2010-08-13"
"7.1.2";"2010-09-23"
"7.1.3";"2010-11-18"
"7.1.4";"2011-03-29"
"7.1.5";"2011-10-04"
"7.1.6";"2012-06-13"
"8.0.1";"2011-11-17"
"8.0.2";"2012-01-24"
"8.0.3";"2012-05-03"
"8.0.4";"2012-06-13"
"8.0.5";"2012-11-06"
"8.0.6";"2013-03-14"
"9.0.1";"2012-11-06"
"9.0.2";"2013-03-07"
"9.0.3";"2013-11-14"
"9.0.4";"2014-07-03"
"10.0.1";"2013-10-24"
"10.0.2";"2014-04-17"
"10.0.3";"2014-07-01"
"10.0.4";"2014-10-30"
"10.0.5";"2015-01-27"
"10.0.6";"2015-05-05"
"10.0.7";"2015-07-02"
"11.1.0";"2015-02-17"
"11.1.0.2496824";"2015-06-04"
"11.1.1";"2015-06-09"
"11.1.2";"2015-06-15"
"11.1.2.2780323";"2015-07-14"
"11.1.3";"2015-11-12"
"11.1.4";"2016-05-12"
"12.0.1";"2015-10-29"
"12.1.0";"2015-12-08"
"12.1.1";"2016-05-17"
"12.5.0";"2016-09-14"
"12.5.1";"2016-10-31"
"12.5.2";"2016-12-18"
"12.5.3";"2017-03-09"
"12.5.4";"2017-03-14"
"12.5.5";"2017-05-07"
"12.5.6";"2017-05-26"
"12.5.7";"2017-07-20"
"12.5.8";"2017-11-16"
"12.5.9";"2018-01-12"
"12.5.9.7535481";"2024-09-21"
"14.0.0";"2017-10-11"
"14.1.0";"2017-12-26"
"14.1.1";"2018-01-11"
"14.1.2";"2018-05-22"
"14.1.3";"2018-08-24"
"14.1.4";"2019-04-08"
"14.1.5";"2019-04-08"
"14.1.6";"2019-04-08"
"14.1.7";"2019-04-08"
"14.1.8";"2019-11-12"
"14.1.8.14921873";"2019-11-13"
"15.0.0";"2018-09-27"
"15.0.1";"2018-11-16"
"15.0.2";"2018-11-25"
"15.0.3";"2019-03-24"
"15.0.4";"2019-04-05"
"15.0.4.20190408";"2019-04-08"
"15.1.0";"2019-05-14"
"15.1.0.13591040";"2019-05-15"
"15.5.0";"2019-09-19"
"15.5.0.14665864";"2019-09-20"
"15.5.1";"2019-11-12"
"15.5.1.15018445";"2019-11-13"
"15.5.2";"2020-03-12"
"15.5.2.15785246";"2020-03-16"
"15.5.5";"2020-05-28"
"15.5.5.16285975";"2020-05-29"
"15.5.6";"2020-06-09"
"15.5.6.16341506";"2020-06-13"
"15.5.7";"2020-11-19"
"15.5.7.17171714";"2020-11-20"
"16.0.0.16894299";"2020-09-15"
"16.1.0";"2020-11-19"
"16.1.0.17198959";"2020-11-20"
"16.1.1";"2021-04-01"
"16.1.1.17801498";"2021-04-02"
"16.1.2";"2021-05-18"
"16.1.2.17966106";"2021-05-18"
"16.2.0";"2021-10-14"
"16.2.0.18760230";"2021-10-14"
"16.2.1";"2021-11-09"
"16.2.1.18811642";"2021-11-09"
"16.2.2";"2022-01-18"
"16.2.2.19200509";"2022-01-18"
"16.2.3";"2022-03-10"
"16.2.3.19376536";"2022-03-14"
"16.2.4";"2022-07-21"
"16.2.4.20089737";"2022-07-22"
"16.2.5";"2022-12-13"
"16.2.5.20904516";"2022-12-13"
"17.0.0.20800274";"2022-11-18"
"17.0.1";"2023-02-02"
"17.0.1.21139696";"2023-02-03"
"17.0.2";"2023-04-25"
"17.0.2.21581411";"2023-04-25"
"17.5.0.22583795";"2023-10-20"
"17.5.1.23298084";"2024-02-27"
"17.5.2.23775571";"2024-09-19"
"17.6.0.24238078";"2024-09-19"
"17.6.1.24319023";"2024-10-10"
"17.6.2.24409262";"2025-01-06"
"17.6.3.24583834";"2025-03-04"
"17.6.3.24583900";"2026-01-22"
