"version_full";"date (yyyy-mm-dd)"
"5.0.5.1";"2012-01-31"
"5.1.7";"2013-08-19"
"5.5.1";"2014-02-04"
"5.5.5";"2014-10-14"
"5.5.6";"2014-10-25"
"5.5.6.01";"2015-02-10"
"5.7";"2015-02-23"
"5.7.2";"2015-04-19"
"5.7.3";"2015-05-25"
"5.7.4";"2015-06-18"
"5.7.5";"2015-08-11"
"5.7.6";"2015-11-07"
"5.7.7";"2016-03-06"
"5.9";"2016-07-22"
"5.9.1";"2016-08-12"
"5.9.2";"2016-11-08"
"5.9.3";"2016-12-03"
"5.9.4";"2017-02-28"
"5.9.4.20170323";"2017-03-24"
"5.9.5";"2017-04-22"
"5.9.6";"2017-06-30"
"5.11.1";"2017-09-19"
"5.11.2";"2017-10-10"
"5.11.3";"2017-12-14"
"5.13";"2018-02-19"
"5.13.1";"2018-03-28"
"5.13.2";"2018-05-11"
"5.13.3";"2018-06-18"
"5.13.4";"2018-08-31"
"5.13.5";"2018-11-21"
"5.13.6";"2018-12-12"
"5.13.7";"2019-01-08"
"5.13.8";"2019-02-27"
"5.13.9";"2019-03-19"
"5.15";"2019-03-27"
"5.15.1";"2019-04-11"
"5.15.2";"2019-05-29"
"5.15.3";"2019-07-21"
"5.15.4";"2019-09-16"
"5.15.5";"2019-10-16"
"5.15.7";"2019-11-27"
"5.15.9";"2019-12-05"
"5.17.2.20200316";"2020-03-16"
"5.17.3";"2020-04-01"
"5.17.4";"2020-04-24"
"5.17.5";"2020-04-27"
"5.17.6";"2020-05-28"
"5.17.7";"2020-07-24"
"5.17.8";"2020-10-15"
"5.17.9";"2020-11-21"
"5.17.10";"2021-01-26"
